ID,Attribute,Date,Value
594,Fuel Rate,02-Mar2019 00:03:57,27
595,Temperature,02-Mar2019 00:03:25,56
596,RPM,02-Mar2019 00:03:45,1592
597,RPM,02-Mar2019 00:03:49,No Signal
598,RPM,02-Mar2019 00:03:53,1435
599,Gas Flow,02-Mar2019 00:03:41,80
600,Pressure,02-Mar2019 00:04:41,3
601,Temperature,02-Mar2019 00:03:29,78
602,Vibration,02-Mar2019 00:04:53,I/O TimeOut
603,RPM,02-Mar2019 00:03:57,1019
604,No2,02-Mar2019 00:04:33,High
605,Vibration,02-Mar2019 00:04:57,62
606,RPM,02-Mar2019 00:04:01,1902
607,Vibration,02-Mar2019 00:05:01,55
608,Pressure,02-Mar2019 00:04:45,2
609,Fuel Rate,02-Mar2019 00:04:01,27
610,Moisture,02-Mar2019 00:03:49,65%
611,RPM,02-Mar2019 00:04:05,1825
612,No2,02-Mar2019 00:04:37,Medium
613,RPM,02-Mar2019 00:04:09,1842
614,Emission,02-Mar2019 00:03:21,5
615,Discharge,02-Mar2019 00:03:37,18
616,Discharge,02-Mar2019 00:03:41,17
617,Moisture,02-Mar2019 00:03:53,51%
618,Moisture,02-Mar2019 00:03:57,69%
619,Fuel Rate,02-Mar2019 00:04:05,26
620,Pressure,02-Mar2019 00:04:49,2
621,Gas Flow,02-Mar2019 00:03:45,78
622,Temperature,02-Mar2019 00:03:33,77
623,No2,02-Mar2019 00:04:41,No Signal
624,Discharge,02-Mar2019 00:03:45,20
625,Discharge,02-Mar2019 00:03:49,15
626,Temperature,02-Mar2019 00:03:37,No Signal
627,No2,02-Mar2019 00:04:45,High
628,Fuel Rate,02-Mar2019 00:04:09,28
629,RPM,02-Mar2019 00:04:13,1772
630,Moisture,02-Mar2019 00:04:01,53%
631,Emission,02-Mar2019 00:03:25,7
632,Fuel Rate,02-Mar2019 00:04:13,27
633,Discharge,02-Mar2019 00:03:53,14
634,Moisture,02-Mar2019 00:04:05,57%
635,Temperature,02-Mar2019 00:03:41,67
636,Emission,02-Mar2019 00:03:29,5
637,RPM,02-Mar2019 00:04:17,1178
638,Discharge,02-Mar2019 00:03:57,19
639,Pressure,02-Mar2019 00:04:53,3
640,Discharge,02-Mar2019 00:04:01,11
641,Pressure,02-Mar2019 00:04:57,3
642,Emission,02-Mar2019 00:03:33,5
643,Gas Flow,02-Mar2019 00:03:49,79
644,Temperature,02-Mar2019 00:03:45,71
645,Discharge,02-Mar2019 00:04:05,14
646,RPM,02-Mar2019 00:04:21,1822
647,RPM,02-Mar2019 00:04:25,1201
648,Vibration,02-Mar2019 00:05:05,54
649,Gas Flow,02-Mar2019 00:03:53,72
650,No2,02-Mar2019 00:04:49,High
651,Pressure,02-Mar2019 00:05:01,2
652,No2,02-Mar2019 00:04:53,Low
653,Vibration,02-Mar2019 00:05:09,66
654,Fuel Rate,02-Mar2019 00:04:17,25
655,Temperature,02-Mar2019 00:03:49,65
656,Gas Flow,02-Mar2019 00:03:57,70
657,Gas Flow,02-Mar2019 00:04:01,62
658,No2,02-Mar2019 00:04:57,Low
659,Vibration,02-Mar2019 00:05:13,83
660,Discharge,02-Mar2019 00:04:09,14
661,Moisture,02-Mar2019 00:04:09,55%
662,Gas Flow,02-Mar2019 00:04:05,79
663,Temperature,02-Mar2019 00:03:53,72
664,Discharge,02-Mar2019 00:04:13,10
665,Pressure,02-Mar2019 00:05:05,4
666,Vibration,02-Mar2019 00:05:17,62
667,RPM,02-Mar2019 00:04:29,1027
668,Fuel Rate,02-Mar2019 00:04:21,26
669,Emission,02-Mar2019 00:03:37,7
670,Moisture,02-Mar2019 00:04:13,55%
671,Discharge,02-Mar2019 00:04:17,12
672,RPM,02-Mar2019 00:04:33,1572
673,Moisture,02-Mar2019 00:04:17,53%
674,Fuel Rate,02-Mar2019 00:04:25,29
675,RPM,02-Mar2019 00:04:37,1796
676,Fuel Rate,02-Mar2019 00:04:29,26
677,Temperature,02-Mar2019 00:03:57,51
678,RPM,02-Mar2019 00:04:41,1031
679,Fuel Rate,02-Mar2019 00:04:33,30
680,Fuel Rate,02-Mar2019 00:04:37,26
681,RPM,02-Mar2019 00:04:45,1617
682,Gas Flow,02-Mar2019 00:04:09,62
683,RPM,02-Mar2019 00:04:49,1807
684,Fuel Rate,02-Mar2019 00:04:41,28
685,Moisture,02-Mar2019 00:04:21,65%
686,Discharge,02-Mar2019 00:04:21,20
687,Vibration,02-Mar2019 00:05:21,68
688,Vibration,02-Mar2019 00:05:25,74
689,Pressure,02-Mar2019 00:05:09,4
690,Vibration,02-Mar2019 00:05:29,80
691,Emission,02-Mar2019 00:03:41,7
692,Gas Flow,02-Mar2019 00:04:13,80
693,Moisture,02-Mar2019 00:04:25,56%
694,No2,02-Mar2019 00:05:01,Low
695,Pressure,02-Mar2019 00:05:13,3
696,No2,02-Mar2019 00:05:05,Low
697,No2,02-Mar2019 00:05:09,Medium
698,Pressure,02-Mar2019 00:05:17,1
699,Moisture,02-Mar2019 00:04:29,62%
700,Moisture,02-Mar2019 00:04:33,65%
701,Gas Flow,02-Mar2019 00:04:17,68
702,RPM,02-Mar2019 00:04:53,1485
703,Emission,02-Mar2019 00:03:45,10
704,Discharge,02-Mar2019 00:04:25,18
705,Moisture,02-Mar2019 00:04:37,52%
706,Vibration,02-Mar2019 00:05:33,63
707,Pressure,02-Mar2019 00:05:21,2
708,Temperature,02-Mar2019 00:04:01,50
709,Discharge,02-Mar2019 00:04:29,14
710,Discharge,02-Mar2019 00:04:33,12
711,Discharge,02-Mar2019 00:04:37,12
712,Gas Flow,02-Mar2019 00:04:21,62
713,Emission,02-Mar2019 00:03:49,5
714,Fuel Rate,02-Mar2019 00:04:45,26
715,Emission,02-Mar2019 00:03:53,No Signal
716,Temperature,02-Mar2019 00:04:05,74
717,Temperature,02-Mar2019 00:04:09,62
718,Fuel Rate,02-Mar2019 00:04:49,26
719,Gas Flow,02-Mar2019 00:04:25,76
720,Vibration,02-Mar2019 00:05:37,No Signal
721,Emission,02-Mar2019 00:03:57,8
722,Vibration,02-Mar2019 00:05:41,79
723,RPM,02-Mar2019 00:04:57,1687
724,Discharge,02-Mar2019 00:04:41,15
725,Vibration,02-Mar2019 00:05:45,64
726,Emission,02-Mar2019 00:04:01,10
727,Moisture,02-Mar2019 00:04:41,70%
728,RPM,02-Mar2019 00:05:01,1242
729,Temperature,02-Mar2019 00:04:13,55
730,No2,02-Mar2019 00:05:13,High
731,No2,02-Mar2019 00:05:17,High
732,Emission,02-Mar2019 00:04:05,8
733,Gas Flow,02-Mar2019 00:04:29,60
734,Moisture,02-Mar2019 00:04:45,69%
735,Pressure,02-Mar2019 00:05:25,4
736,Discharge,02-Mar2019 00:04:45,17
737,Temperature,02-Mar2019 00:04:17,77
738,Moisture,02-Mar2019 00:04:49,59%
739,No2,02-Mar2019 00:05:21,Low
740,Vibration,02-Mar2019 00:05:49,90
741,Pressure,02-Mar2019 00:05:29,5
742,Temperature,02-Mar2019 00:04:21,53
743,Vibration,02-Mar2019 00:05:53,50
744,Gas Flow,02-Mar2019 00:04:33,68
745,Discharge,02-Mar2019 00:04:49,14
746,RPM,02-Mar2019 00:05:05,1739
747,RPM,02-Mar2019 00:05:09,1448
748,Gas Flow,02-Mar2019 00:04:37,No Signal
749,Fuel Rate,02-Mar2019 00:04:53,26
750,Moisture,02-Mar2019 00:04:53,66%
751,Moisture,02-Mar2019 00:04:57,69%
752,No2,02-Mar2019 00:05:25,Medium
753,Pressure,02-Mar2019 00:05:33,3
754,Pressure,02-Mar2019 00:05:37,1
755,Emission,02-Mar2019 00:04:09,10
756,Emission,02-Mar2019 00:04:13,6
757,Gas Flow,02-Mar2019 00:04:41,Data Lost
758,Pressure,02-Mar2019 00:05:41,1
759,No2,02-Mar2019 00:05:29,High
760,Temperature,02-Mar2019 00:04:25,53
761,Gas Flow,02-Mar2019 00:04:45,64
762,RPM,02-Mar2019 00:05:13,1607
763,Vibration,02-Mar2019 00:05:57,78
764,Emission,02-Mar2019 00:04:17,6
765,Fuel Rate,02-Mar2019 00:04:57,26
766,Emission,02-Mar2019 00:04:21,9
767,Fuel Rate,02-Mar2019 00:05:01,26
768,Pressure,02-Mar2019 00:05:45,3
769,RPM,02-Mar2019 00:05:17,1068
770,Moisture,02-Mar2019 00:05:01,55%
771,Vibration,02-Mar2019 00:06:01,56
772,Gas Flow,02-Mar2019 00:04:49,63
773,Gas Flow,02-Mar2019 00:04:53,62
774,Fuel Rate,02-Mar2019 00:05:05,27
775,Fuel Rate,02-Mar2019 00:05:09,25
776,Vibration,02-Mar2019 00:06:05,84
777,Gas Flow,02-Mar2019 00:04:57,75
778,Gas Flow,02-Mar2019 00:05:01,76
779,No2,02-Mar2019 00:05:33,High
780,Moisture,02-Mar2019 00:05:05,61%
781,Pressure,02-Mar2019 00:05:49,3
782,Emission,02-Mar2019 00:04:25,8
783,Temperature,02-Mar2019 00:04:29,68
784,Discharge,02-Mar2019 00:04:53,16
785,Discharge,02-Mar2019 00:04:57,18
786,Emission,02-Mar2019 00:04:29,5
787,RPM,02-Mar2019 00:05:21,1448
788,Moisture,02-Mar2019 00:05:09,60%
789,Temperature,02-Mar2019 00:04:33,61
790,Fuel Rate,02-Mar2019 00:05:13,28
791,Gas Flow,02-Mar2019 00:05:05,78
792,RPM,02-Mar2019 00:05:25,1570
793,Temperature,02-Mar2019 00:04:37,65
794,Vibration,02-Mar2019 00:06:09,78
795,Fuel Rate,02-Mar2019 00:05:17,25
796,Pressure,02-Mar2019 00:05:53,2
797,Temperature,02-Mar2019 00:04:41,69
798,No2,02-Mar2019 00:05:37,Low
799,Gas Flow,02-Mar2019 00:05:09,67
800,RPM,02-Mar2019 00:05:29,1671
801,Discharge,02-Mar2019 00:05:01,14
802,Emission,02-Mar2019 00:04:33,7
803,Emission,02-Mar2019 00:04:37,7
804,Pressure,02-Mar2019 00:05:57,2
805,Temperature,02-Mar2019 00:04:45,71
806,Temperature,02-Mar2019 00:04:49,65
807,Gas Flow,02-Mar2019 00:05:13,68
808,Gas Flow,02-Mar2019 00:05:17,73
809,No2,02-Mar2019 00:05:41,High
810,Discharge,02-Mar2019 00:05:05,18
811,Moisture,02-Mar2019 00:05:13,69%
812,Fuel Rate,02-Mar2019 00:05:21,25
813,Moisture,02-Mar2019 00:05:17,50%
814,Vibration,02-Mar2019 00:06:13,72
815,Fuel Rate,02-Mar2019 00:05:25,29
816,Moisture,02-Mar2019 00:05:21,66%
817,Vibration,02-Mar2019 00:06:17,68
818,RPM,02-Mar2019 00:05:33,1131
819,Temperature,02-Mar2019 00:04:53,60
820,No2,02-Mar2019 00:05:45,Medium
821,Pressure,02-Mar2019 00:06:01,Data Lost
822,RPM,02-Mar2019 00:05:37,1021
823,Emission,02-Mar2019 00:04:41,10
824,Pressure,02-Mar2019 00:06:05,5
825,Pressure,02-Mar2019 00:06:09,5
826,Pressure,02-Mar2019 00:06:13,1
827,Temperature,02-Mar2019 00:04:57,74
828,Emission,02-Mar2019 00:04:45,8
829,Fuel Rate,02-Mar2019 00:05:29,30
830,No2,02-Mar2019 00:05:49,Low
831,Temperature,02-Mar2019 00:05:01,57
832,Vibration,02-Mar2019 00:06:21,84
833,Vibration,02-Mar2019 00:06:25,80
834,Emission,02-Mar2019 00:04:49,8
835,Pressure,02-Mar2019 00:06:17,3
836,No2,02-Mar2019 00:05:53,High
837,Pressure,02-Mar2019 00:06:21,3
838,Temperature,02-Mar2019 00:05:05,69
839,Emission,02-Mar2019 00:04:53,8
840,Temperature,02-Mar2019 00:05:09,74
841,Vibration,02-Mar2019 00:06:29,90
842,Moisture,02-Mar2019 00:05:25,61%
843,Vibration,02-Mar2019 00:06:33,No Signal
844,Emission,02-Mar2019 00:04:57,8
845,Pressure,02-Mar2019 00:06:25,2
846,Vibration,02-Mar2019 00:06:37,78
847,Fuel Rate,02-Mar2019 00:05:33,28
848,Pressure,02-Mar2019 00:06:29,5
849,Pressure,02-Mar2019 00:06:33,5
850,Pressure,02-Mar2019 00:06:37,2
851,Moisture,02-Mar2019 00:05:29,68%
852,No2,02-Mar2019 00:05:57,High
853,Temperature,02-Mar2019 00:05:13,50
854,Gas Flow,02-Mar2019 00:05:21,78
855,Fuel Rate,02-Mar2019 00:05:37,26
856,Moisture,02-Mar2019 00:05:33,67%
857,RPM,02-Mar2019 00:05:41,1901
858,Fuel Rate,02-Mar2019 00:05:41,26
859,Emission,02-Mar2019 00:05:01,7
860,Emission,02-Mar2019 00:05:05,9
861,Emission,02-Mar2019 00:05:09,7
862,Vibration,02-Mar2019 00:06:41,58
863,Vibration,02-Mar2019 00:06:44,80
864,Fuel Rate,02-Mar2019 00:05:45,30
865,Gas Flow,02-Mar2019 00:05:25,73
866,Emission,02-Mar2019 00:05:13,5
867,Moisture,02-Mar2019 00:05:37,61%
868,Fuel Rate,02-Mar2019 00:05:49,25
869,RPM,02-Mar2019 00:05:45,1577
870,Vibration,02-Mar2019 00:06:48,52
871,Emission,02-Mar2019 00:05:17,10
872,Vibration,02-Mar2019 00:06:52,76
873,Emission,02-Mar2019 00:05:21,10
874,RPM,02-Mar2019 00:05:49,1908
875,Pressure,02-Mar2019 00:06:41,3
876,Temperature,02-Mar2019 00:05:17,79
877,Fuel Rate,02-Mar2019 00:05:53,25
878,RPM,02-Mar2019 00:05:53,1155
879,RPM,02-Mar2019 00:05:57,1312
880,RPM,02-Mar2019 00:06:01,1779
881,Fuel Rate,02-Mar2019 00:05:57,25
882,Gas Flow,02-Mar2019 00:05:29,61
883,Gas Flow,02-Mar2019 00:05:33,62
884,Discharge,02-Mar2019 00:05:09,16
885,Temperature,02-Mar2019 00:05:21,63
886,Temperature,02-Mar2019 00:05:25,80
887,Moisture,02-Mar2019 00:05:41,66%
888,Vibration,02-Mar2019 00:06:56,71
889,Moisture,02-Mar2019 00:05:45,53%
890,Moisture,02-Mar2019 00:05:49,69%
891,Emission,02-Mar2019 00:05:25,10
892,RPM,02-Mar2019 00:06:05,1700
893,No2,02-Mar2019 00:06:01,Low
894,Fuel Rate,02-Mar2019 00:06:01,28
895,Moisture,02-Mar2019 00:05:53,55%
896,Vibration,02-Mar2019 00:07:00,70
897,Vibration,02-Mar2019 00:07:04,57
898,Pressure,02-Mar2019 00:06:44,2
899,Pressure,02-Mar2019 00:06:48,5
900,Temperature,02-Mar2019 00:05:29,Data Lost
901,No2,02-Mar2019 00:06:05,Low
902,Emission,02-Mar2019 00:05:29,9
903,Vibration,02-Mar2019 00:07:08,66
904,Discharge,02-Mar2019 00:05:13,17
905,Gas Flow,02-Mar2019 00:05:37,67
906,Fuel Rate,02-Mar2019 00:06:05,29
907,Emission,02-Mar2019 00:05:33,8
908,Moisture,02-Mar2019 00:05:57,53%
909,Fuel Rate,02-Mar2019 00:06:09,25
910,Gas Flow,02-Mar2019 00:05:41,72
911,Discharge,02-Mar2019 00:05:17,10
912,Discharge,02-Mar2019 00:05:21,13
913,Discharge,02-Mar2019 00:05:25,13
914,RPM,02-Mar2019 00:06:09,1403
915,Gas Flow,02-Mar2019 00:05:45,66
916,Discharge,02-Mar2019 00:05:29,16
917,No2,02-Mar2019 00:06:09,Low
918,Moisture,02-Mar2019 00:06:01,54%
919,Gas Flow,02-Mar2019 00:05:49,73
920,Vibration,02-Mar2019 00:07:12,54
921,Temperature,02-Mar2019 00:05:33,76
922,Discharge,02-Mar2019 00:05:33,12
923,Moisture,02-Mar2019 00:06:05,54%
924,Vibration,02-Mar2019 00:07:16,64
925,Vibration,02-Mar2019 00:07:20,60
926,Gas Flow,02-Mar2019 00:05:53,61
927,Pressure,02-Mar2019 00:06:52,3
928,Gas Flow,02-Mar2019 00:05:57,74
929,Fuel Rate,02-Mar2019 00:06:13,29
930,No2,02-Mar2019 00:06:13,High
931,Pressure,02-Mar2019 00:06:56,2
932,Moisture,02-Mar2019 00:06:09,63%
933,Emission,02-Mar2019 00:05:37,10
934,Vibration,02-Mar2019 00:07:24,60
935,Vibration,02-Mar2019 00:07:28,60
936,RPM,02-Mar2019 00:06:13,1732
937,RPM,02-Mar2019 00:06:17,1452
938,Gas Flow,02-Mar2019 00:06:01,67
939,Temperature,02-Mar2019 00:05:37,I/O TimeOut
940,Gas Flow,02-Mar2019 00:06:05,79
941,Emission,02-Mar2019 00:05:41,10
942,Discharge,02-Mar2019 00:05:37,11
943,Temperature,02-Mar2019 00:05:41,78
944,Vibration,02-Mar2019 00:07:32,50
945,Emission,02-Mar2019 00:05:45,5
946,Temperature,02-Mar2019 00:05:45,67
947,Fuel Rate,02-Mar2019 00:06:17,27
948,Fuel Rate,02-Mar2019 00:06:21,26
949,RPM,02-Mar2019 00:06:21,1306
950,Temperature,02-Mar2019 00:05:49,53
951,Emission,02-Mar2019 00:05:49,10
952,Pressure,02-Mar2019 00:07:00,5
953,RPM,02-Mar2019 00:06:25,1843
954,No2,02-Mar2019 00:06:17,High
955,Gas Flow,02-Mar2019 00:06:09,70
956,Fuel Rate,02-Mar2019 00:06:25,28
957,Moisture,02-Mar2019 00:06:13,64%
958,No2,02-Mar2019 00:06:21,Low
959,Vibration,02-Mar2019 00:07:36,63
960,Fuel Rate,02-Mar2019 00:06:29,26
961,Discharge,02-Mar2019 00:05:41,13
962,Fuel Rate,02-Mar2019 00:06:33,26
963,Temperature,02-Mar2019 00:05:53,71
964,Emission,02-Mar2019 00:05:53,10
965,Gas Flow,02-Mar2019 00:06:13,64
966,Emission,02-Mar2019 00:05:57,10
967,Vibration,02-Mar2019 00:07:40,82
968,Gas Flow,02-Mar2019 00:06:17,70
969,Moisture,02-Mar2019 00:06:17,69%
970,Discharge,02-Mar2019 00:05:45,12
971,Emission,02-Mar2019 00:06:01,6
972,RPM,02-Mar2019 00:06:29,1367
973,Gas Flow,02-Mar2019 00:06:21,74
974,Vibration,02-Mar2019 00:07:44,51
975,RPM,02-Mar2019 00:06:33,Data Lost
976,Temperature,02-Mar2019 00:05:57,50
977,No2,02-Mar2019 00:06:25,High
978,Moisture,02-Mar2019 00:06:21,50%
979,Discharge,02-Mar2019 00:05:49,18
980,RPM,02-Mar2019 00:06:37,1209
981,Gas Flow,02-Mar2019 00:06:25,62
982,Gas Flow,02-Mar2019 00:06:29,70
983,Fuel Rate,02-Mar2019 00:06:37,26
984,Discharge,02-Mar2019 00:05:53,15
985,Pressure,02-Mar2019 00:07:04,1
986,Moisture,02-Mar2019 00:06:25,54%
987,Emission,02-Mar2019 00:06:05,7
988,Discharge,02-Mar2019 00:05:57,10
989,Fuel Rate,02-Mar2019 00:06:41,26
990,Fuel Rate,02-Mar2019 00:06:44,29
991,Gas Flow,02-Mar2019 00:06:33,76
992,Temperature,02-Mar2019 00:06:01,54
993,Vibration,02-Mar2019 00:07:48,78
994,Pressure,02-Mar2019 00:07:08,2
995,RPM,02-Mar2019 00:06:41,1304
996,Fuel Rate,02-Mar2019 00:06:48,29
997,Discharge,02-Mar2019 00:06:01,11
998,Fuel Rate,02-Mar2019 00:06:52,27
999,Moisture,02-Mar2019 00:06:29,60%
1000,Emission,02-Mar2019 00:06:09,6
1001,Pressure,02-Mar2019 00:07:12,4
1002,Discharge,02-Mar2019 00:06:05,18
1003,Temperature,02-Mar2019 00:06:05,71
1004,No2,02-Mar2019 00:06:29,Low
1005,RPM,02-Mar2019 00:06:44,1373
1006,Discharge,02-Mar2019 00:06:09,18
1007,Discharge,02-Mar2019 00:06:13,16
1008,Vibration,02-Mar2019 00:07:52,54
1009,Discharge,02-Mar2019 00:06:17,20
1010,Emission,02-Mar2019 00:06:13,10
1011,Fuel Rate,02-Mar2019 00:06:56,25
1012,Emission,02-Mar2019 00:06:17,10
1013,Temperature,02-Mar2019 00:06:09,62
1014,Pressure,02-Mar2019 00:07:16,4
1015,Vibration,02-Mar2019 00:07:56,66
1016,No2,02-Mar2019 00:06:33,High
1017,RPM,02-Mar2019 00:06:48,1273
1018,Emission,02-Mar2019 00:06:21,6
1019,Gas Flow,02-Mar2019 00:06:37,68
1020,Vibration,02-Mar2019 00:08:00,81
1021,Temperature,02-Mar2019 00:06:13,74
1022,Gas Flow,02-Mar2019 00:06:41,68
1023,No2,02-Mar2019 00:06:37,High
1024,No2,02-Mar2019 00:06:41,Medium
1025,Pressure,02-Mar2019 00:07:20,2
1026,Discharge,02-Mar2019 00:06:21,19
1027,Fuel Rate,02-Mar2019 00:07:00,28
1028,Vibration,02-Mar2019 00:08:04,54
1029,Emission,02-Mar2019 00:06:25,8
1030,Discharge,02-Mar2019 00:06:25,13
1031,Gas Flow,02-Mar2019 00:06:44,73
1032,RPM,02-Mar2019 00:06:52,1665
1033,Moisture,02-Mar2019 00:06:33,55%
1034,Emission,02-Mar2019 00:06:29,I/O TimeOut
1035,Discharge,02-Mar2019 00:06:29,17
1036,No2,02-Mar2019 00:06:44,Medium
1037,Temperature,02-Mar2019 00:06:17,67
1038,Gas Flow,02-Mar2019 00:06:48,62
1039,RPM,02-Mar2019 00:06:56,1042
1040,RPM,02-Mar2019 00:07:00,1016
1041,Gas Flow,02-Mar2019 00:06:52,68
1042,Discharge,02-Mar2019 00:06:33,13
1043,RPM,02-Mar2019 00:07:04,1003
1044,No2,02-Mar2019 00:06:48,Medium
1045,Discharge,02-Mar2019 00:06:37,10
1046,Pressure,02-Mar2019 00:07:24,3
1047,Temperature,02-Mar2019 00:06:21,67
1048,Fuel Rate,02-Mar2019 00:07:04,29
1049,Discharge,02-Mar2019 00:06:41,15
1050,No2,02-Mar2019 00:06:52,Low
1051,Pressure,02-Mar2019 00:07:28,2
1052,RPM,02-Mar2019 00:07:08,1117
1053,Emission,02-Mar2019 00:06:33,9
1054,Discharge,02-Mar2019 00:06:44,11
1055,Moisture,02-Mar2019 00:06:37,51%
1056,Moisture,02-Mar2019 00:06:41,68%
1057,No2,02-Mar2019 00:06:56,High
1058,Gas Flow,02-Mar2019 00:06:56,78
1059,Temperature,02-Mar2019 00:06:25,54
1060,Discharge,02-Mar2019 00:06:48,13
1061,No2,02-Mar2019 00:07:00,High
1062,No2,02-Mar2019 00:07:04,Medium
1063,Discharge,02-Mar2019 00:06:52,15
1064,Pressure,02-Mar2019 00:07:32,2
1065,Gas Flow,02-Mar2019 00:07:00,72
1066,RPM,02-Mar2019 00:07:12,1518
1067,Emission,02-Mar2019 00:06:37,10
1068,Fuel Rate,02-Mar2019 00:07:08,25
1069,Vibration,02-Mar2019 00:08:08,86
1070,Discharge,02-Mar2019 00:06:56,13
1071,Vibration,02-Mar2019 00:08:12,53
1072,Temperature,02-Mar2019 00:06:29,60
1073,Fuel Rate,02-Mar2019 00:07:12,25
1074,Pressure,02-Mar2019 00:07:36,3
1075,Discharge,02-Mar2019 00:07:00,12
1076,Discharge,02-Mar2019 00:07:04,15
1077,Emission,02-Mar2019 00:06:41,9
1078,Moisture,02-Mar2019 00:06:44,56%
1079,Emission,02-Mar2019 00:06:44,8
1080,Moisture,02-Mar2019 00:06:48,50%
1081,Moisture,02-Mar2019 00:06:52,50%
1082,No2,02-Mar2019 00:07:08,Medium
1083,Moisture,02-Mar2019 00:06:56,50%
1084,No2,02-Mar2019 00:07:12,Medium
1085,Temperature,02-Mar2019 00:06:33,54
1086,Vibration,02-Mar2019 00:08:16,67
1087,Fuel Rate,02-Mar2019 00:07:16,25
1088,Gas Flow,02-Mar2019 00:07:04,60
1089,Temperature,02-Mar2019 00:06:37,74
1090,Temperature,02-Mar2019 00:06:41,73
1091,Vibration,02-Mar2019 00:08:20,60
1092,Gas Flow,02-Mar2019 00:07:08,70
1093,Fuel Rate,02-Mar2019 00:07:20,29
1094,Vibration,02-Mar2019 00:08:24,56
1095,Pressure,02-Mar2019 00:07:40,5
1096,Moisture,02-Mar2019 00:07:00,59%
1097,Vibration,02-Mar2019 00:08:28,85
1098,No2,02-Mar2019 00:07:16,High
1099,Pressure,02-Mar2019 00:07:44,3
1100,Temperature,02-Mar2019 00:06:44,64
1101,Temperature,02-Mar2019 00:06:48,72
1102,Emission,02-Mar2019 00:06:48,5
1103,Moisture,02-Mar2019 00:07:04,53%
1104,Vibration,02-Mar2019 00:08:32,71
1105,Gas Flow,02-Mar2019 00:07:12,80
1106,Emission,02-Mar2019 00:06:52,7
1107,Vibration,02-Mar2019 00:08:36,74
1108,Emission,02-Mar2019 00:06:56,6
1109,Moisture,02-Mar2019 00:07:08,70%
1110,Fuel Rate,02-Mar2019 00:07:24,29
1111,Pressure,02-Mar2019 00:07:48,5
1112,Moisture,02-Mar2019 00:07:12,51%
1113,RPM,02-Mar2019 00:07:16,1731
1114,Pressure,02-Mar2019 00:07:52,3
1115,Vibration,02-Mar2019 00:08:40,82
1116,Discharge,02-Mar2019 00:07:08,15
1117,Gas Flow,02-Mar2019 00:07:16,61
1118,Moisture,02-Mar2019 00:07:16,No Signal
1119,No2,02-Mar2019 00:07:20,Low
1120,Fuel Rate,02-Mar2019 00:07:28,28
1121,Vibration,02-Mar2019 00:08:44,82
1122,Gas Flow,02-Mar2019 00:07:20,79
1123,No2,02-Mar2019 00:07:24,Low
1124,Fuel Rate,02-Mar2019 00:07:32,29
1125,RPM,02-Mar2019 00:07:20,1084
1126,Fuel Rate,02-Mar2019 00:07:36,29
1127,RPM,02-Mar2019 00:07:24,1206
1128,Pressure,02-Mar2019 00:07:56,4
1129,Vibration,02-Mar2019 00:08:48,77
1130,Discharge,02-Mar2019 00:07:12,16
1131,Fuel Rate,02-Mar2019 00:07:40,30
1132,No2,02-Mar2019 00:07:28,High
1133,Gas Flow,02-Mar2019 00:07:24,73
1134,Gas Flow,02-Mar2019 00:07:28,61
1135,Emission,02-Mar2019 00:07:00,9
1136,Fuel Rate,02-Mar2019 00:07:44,26
1137,Vibration,02-Mar2019 00:08:52,63
1138,Discharge,02-Mar2019 00:07:16,17
1139,Vibration,02-Mar2019 00:08:56,64
1140,Gas Flow,02-Mar2019 00:07:32,61
1141,Gas Flow,02-Mar2019 00:07:36,73
1142,Discharge,02-Mar2019 00:07:20,No Signal
1143,Gas Flow,02-Mar2019 00:07:40,62
1144,Pressure,02-Mar2019 00:08:00,1
1145,No2,02-Mar2019 00:07:32,Medium
1146,RPM,02-Mar2019 00:07:28,1963
1147,Vibration,02-Mar2019 00:09:00,70
1148,Temperature,02-Mar2019 00:06:52,62
1149,No2,02-Mar2019 00:07:36,Medium
1150,Pressure,02-Mar2019 00:08:04,3
1151,RPM,02-Mar2019 00:07:32,1606
1152,No2,02-Mar2019 00:07:40,Medium
1153,Pressure,02-Mar2019 00:08:08,2
1154,Emission,02-Mar2019 00:07:04,9
1155,Emission,02-Mar2019 00:07:08,6
1156,No2,02-Mar2019 00:07:44,High
1157,Emission,02-Mar2019 00:07:12,No Signal
1158,Gas Flow,02-Mar2019 00:07:44,78
1159,Temperature,02-Mar2019 00:06:56,74
1160,Vibration,02-Mar2019 00:09:04,70
1161,RPM,02-Mar2019 00:07:36,1676
1162,Temperature,02-Mar2019 00:07:00,60
1163,Discharge,02-Mar2019 00:07:24,17
1164,Moisture,02-Mar2019 00:07:20,52%
1165,Temperature,02-Mar2019 00:07:04,61
1166,Pressure,02-Mar2019 00:08:12,4
1167,Moisture,02-Mar2019 00:07:24,65%
1168,Discharge,02-Mar2019 00:07:28,11
1169,Fuel Rate,02-Mar2019 00:07:48,30
1170,Gas Flow,02-Mar2019 00:07:48,63
1171,Fuel Rate,02-Mar2019 00:07:52,27
1172,Temperature,02-Mar2019 00:07:08,57
1173,Emission,02-Mar2019 00:07:16,5
1174,Temperature,02-Mar2019 00:07:12,50
1175,RPM,02-Mar2019 00:07:40,1740
1176,Vibration,02-Mar2019 00:09:08,59
1177,RPM,02-Mar2019 00:07:44,1624
1178,Vibration,02-Mar2019 00:09:12,54
1179,RPM,02-Mar2019 00:07:48,1795
